,objid,ra,dec,dered_u,dered_g,dered_r,dered_i,dered_z,mag_u,mag_g,mag_r,mag_i,mag_z,spec_z,u_g_color,g_r_color,r_i_color,i_z_color,class,diff_u,diff_g,diff_r,diff_i,diff_z
7072,1237657069546963064,23.810507,-0.88861133,19.18649,18.98025,18.84877,18.81987,18.53831,19.19679,19.00125,18.85823,18.81657,18.52953,2.106371,0.2062397,0.1314735,0.02890205,0.2815571,b'QSO',-0.010300000000000864,-0.020999999999997243,-0.00946000000000069,0.0033000000000029672,0.008779999999998012
67952,1237661149772447794,210.45276,45.910295,19.32124,18.94111,18.87985,18.7444,18.76438,19.3361,18.95289,18.90594,18.77267,18.78716,0.6469147,0.3801212,0.06126785,0.1354485,-0.01998329,b'QSO',-0.014859999999998763,-0.011780000000001678,-0.026089999999999947,-0.028270000000002682,-0.02278000000000091
128124,1237651737392054722,235.98464,2.228907,19.35712,19.12205,18.75591,18.78703,18.95102,19.32928,19.1375,18.77703,18.80227,18.98067,1.122418,0.2350712,0.3661442,-0.03111839,-0.1639881,b'QSO',0.027839999999997644,-0.015449999999997743,-0.021119999999999806,-0.015239999999998588,-0.029650000000000176
368730,1237667485916856529,132.91474,15.883446,19.23008,18.93408,18.86688,18.71811,18.75505,19.23733,18.9418,18.85743,18.69823,18.74421,1.590194,0.2960052,0.06719589,0.1487694,-0.03693771,b'QSO',-0.0072499999999990905,-0.007719999999999061,0.009449999999997516,0.019880000000000564,0.010840000000001737
369696,1237668333108068640,235.01935,12.106211,19.3654,19.06833,18.94605,18.65437,18.74553,19.37796,19.08135,18.94079,18.64906,18.74281,1.518881,0.2970676,0.122282,0.2916775,-0.09115982,b'QSO',-0.01256000000000057,-0.01302000000000092,0.00525999999999982,0.00531000000000148,0.0027200000000000557
2844,1237667255613587545,151.67762,27.020951,18.04804,17.73148,17.80226,17.59778,17.70994,18.06551,17.77162,17.88126,17.68066,17.80448,0.5485471,0.3165607,-0.07077789,0.2044754,-0.1121616,b'QSO',-0.01746999999999943,-0.0401399999999974,-0.07900000000000063,-0.0828799999999994,-0.09454000000000207
372446,1237667536395501611,147.42181,19.016207,18.81173,18.55059,18.52296,18.32141,18.32819,18.82747,18.56006,18.54023,18.32892,18.33367,1.677453,0.2611351,0.02763176,0.2015495,-0.006774902,b'QSO',-0.015740000000000975,-0.009470000000000312,-0.017269999999999897,-0.007509999999999906,-0.00548000000000215
434816,1237680262389956780,0.67397871999998,-8.3803612,19.17076,18.4203,18.58157,18.46678,18.21638,19.12843,18.4523,18.57719,18.4673,18.21119,2.35858,0.750452,-0.1612701,0.1147919,0.2504025,b'QSO',0.04232999999999976,-0.03200000000000003,0.004379999999997608,-0.0005200000000016303,0.00519000000000247
100769,1237667252938145887,174.84042,28.605777,19.47383,18.74213,17.69111,17.17298,17.01446,20.09105,19.57457,18.57434,18.00194,17.89811,0.2054069,0.7316952,1.051023,0.5181313,0.1585236,b'QSO',-0.6172199999999997,-0.8324400000000018,-0.8832300000000011,-0.8289600000000021,-0.8836499999999994
3989,1237671766931013767,254.1138,62.540739,17.78428,17.48742,17.0692,16.68422,16.69638,18.06844,17.81017,17.46693,17.13462,17.11904,0.1845512,0.2968559,0.4182205,0.3849869,-0.01216316,b'QSO',-0.28415999999999997,-0.3227499999999992,-0.3977300000000028,-0.4504000000000019,-0.4226599999999969
103958,1237674366990680807,112.45479,32.20842,19.7752,19.13031,18.80015,18.68577,18.51653,19.77276,19.12659,18.79803,18.68707,18.49673,0.8759966,0.644886,0.330162,0.1143799,0.1692371,b'QSO',0.0024399999999999977,0.003720000000001278,0.0021199999999979013,-0.0012999999999969702,0.01980000000000004
